$,_ft,settlementdate,v#
QLD1,Liquid Fuel,2021-09-22 13:55:00,0
QLD1,Liquid Fuel,2021-09-22 14:00:00,0
QLD1,Liquid Fuel,2021-09-22 14:05:00,0
QLD1,Liquid Fuel,2021-09-22 14:10:00,41.56526
QLD1,Liquid Fuel,2021-09-22 14:15:00,93.63946
QLD1,Liquid Fuel,2021-09-22 14:20:00,133.16565
QLD1,Liquid Fuel,2021-09-22 14:25:00,138.18486
QLD1,Liquid Fuel,2021-09-22 14:30:00,137.0869
QLD1,Liquid Fuel,2021-09-22 14:35:00,138.18486
QLD1,Liquid Fuel,2021-09-22 14:40:00,138.028
QLD1,Liquid Fuel,2021-09-22 14:45:00,138.028
QLD1,Liquid Fuel,2021-09-22 14:50:00,138.028
QLD1,Liquid Fuel,2021-09-22 14:55:00,138.028
QLD1,Liquid Fuel,2021-09-22 15:00:00,138.028
QLD1,Solar,2021-09-22 12:00:00,676.925631
QLD1,Solar,2021-09-22 12:05:00,674.82633
QLD1,Solar,2021-09-22 12:10:00,665.5182110000001
QLD1,Solar,2021-09-22 12:15:00,658.42913
QLD1,Solar,2021-09-22 12:20:00,677.3882799999999
QLD1,Solar,2021-09-22 12:25:00,680.6047610000002
QLD1,Solar,2021-09-22 12:30:00,678.2416010000001
QLD1,Solar,2021-09-22 12:35:00,668.1036210000001
QLD1,Solar,2021-09-22 12:40:00,661.4224510000001
QLD1,Solar,2021-09-22 12:45:00,673.2826899999999
QLD1,Solar,2021-09-22 12:50:00,676.6703210000001
QLD1,Solar,2021-09-22 12:55:00,674.6410510000001
QLD1,Solar,2021-09-22 13:00:00,680.05871
QLD1,Solar,2021-09-22 13:05:00,679.420431
QLD1,Solar,2021-09-22 13:10:00,670.54706
QLD1,Solar,2021-09-22 13:15:00,650.03842
QLD1,Solar,2021-09-22 13:20:00,569.969671
QLD1,Solar,2021-09-22 13:25:00,631.4096800000001
QLD1,Solar,2021-09-22 13:30:00,565.9425899999999
QLD1,Solar,2021-09-22 13:35:00,610.49835
QLD1,Solar,2021-09-22 13:40:00,631.1184199999999
QLD1,Solar,2021-09-22 13:45:00,649.446131
QLD1,Solar,2021-09-22 13:50:00,669.417271
QLD1,Solar,2021-09-22 13:55:00,656.4566599999999
QLD1,Solar,2021-09-22 14:00:00,640.3627809999999
QLD1,Solar,2021-09-22 14:05:00,626.45979
QLD1,Solar,2021-09-22 14:10:00,642.2761099999999
QLD1,Solar,2021-09-22 14:15:00,653.6812199999998
QLD1,Solar,2021-09-22 14:20:00,638.86702
QLD1,Solar,2021-09-22 14:25:00,669.700601
QLD1,Solar,2021-09-22 14:30:00,669.63868
QLD1,Solar,2021-09-22 14:35:00,639.168871
